gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000013374,4157,8973,2684,2813,3871,4039,4669,4637,3940,3072,2638,4347,3008,2273,4713,5898,2357,2804,4788,2796,5085,3354,2134,3924,3214,1130,5780,4400,2671,2851,2865,2075,4050,3713,5658,6190,4244,3626,2234,2785,3271,4303,6042,2955
ENSG00000013375,4172,2184,1963,1778,3061,2100,1422,1454,2254,1570,2782,1846,3651,1917,3897,1809,1649,1544,1757,1235,3526,1924,1421,1101,1759,1158,3717,1261,2993,2474,2924,1140,2602,1814,3158,1756,4065,1284,1750,1333,3338,1411,3351,1524
ENSG00000013392,597,257,200,173,432,336,160,93,456,305,285,240,284,136,404,249,285,266,305,158,495,194,294,122,195,105,349,228,335,243,345,157,341,317,528,257,546,217,215,140,431,267,452,109
ENSG00000013441,5489,4416,3193,2169,6459,3647,2432,3778,8328,3227,4157,4146,3391,1751,5441,2770,3262,7084,3870,3070,7872,3201,3049,2781,4451,2175,7986,4260,5036,3562,3576,2540,8430,7330,7382,4287,8454,5832,1945,4286,3850,2811,4624,4265
ENSG00000013503,501,745,659,566,906,612,615,821,664,533,749,717,743,372,1234,434,655,610,524,480,606,691,282,493,1062,330,849,523,729,559,644,411,948,697,312,347,722,644,744,130,730,505,703,447
ENSG00000013523,1600,453,500,346,1835,250,1258,286,1730,610,670,386,411,271,1408,260,852,547,469,278,620,317,303,293,686,264,1530,281,880,197,1017,479,1890,551,1475,349,1265,632,1017,391,1151,755,761,337
ENSG00000013561,1777,3436,1704,2365,1741,4507,1602,3211,1798,2423,1938,3982,2683,2505,3059,2716,1448,2589,1203,1951,3023,2451,1694,2597,1596,1759,2730,2731,2026,2419,2197,2159,2084,2740,2582,3217,2616,2199,1029,1318,2138,2845,1902,1894
ENSG00000013563,400,504,353,422,392,623,376,430,588,461,375,542,492,403,461,418,452,364,616,318,847,352,378,388,539,237,536,392,365,454,640,320,694,449,1032,432,621,510,327,277,638,569,820,314
ENSG00000013573,1327,856,767,434,1554,290,597,161,2983,541,1212,178,556,415,1099,375,1255,850,547,401,1156,487,566,602,1566,219,1948,566,1371,220,831,349,3135,599,1714,529,2090,799,1312,491,1676,573,972,370
ENSG00000013583,798,651,1225,1169,544,730,575,2380,1641,1207,885,1226,613,642,1007,1373,798,1420,1521,1348,1400,832,813,1581,1115,342,1586,1323,889,523,551,887,1477,1332,1136,1873,1192,1043,924,1578,709,1991,799,294
ENSG00000013588,13482,25667,16341,19549,8091,8766,7028,18858,16192,6260,17220,23641,17326,70337,12304,32854,9461,14617,7349,13207,11599,9203,3831,19155,14172,36354,22506,13056,14236,22459,33475,15805,17636,12615,15189,36978,13974,8102,6720,14107,16283,18236,30812,21855
ENSG00000013619,73,25,54,23,150,29,36,18,67,100,53,48,70,36,39,15,42,103,15,30,19,39,14,25,10,63,20,57,41,25,42,48,45,116,40,126,50,48,18,369,44,100,25,32
ENSG00000013725,157,177,239,180,739,65,1197,80,443,171,304,172,196,175,168,124,102,198,262,171,111,214,82,207,77,81,164,363,148,55,70,130,168,204,129,225,425,251,206,404,223,269,163,58
