gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000022567,814,1287,770,981,1247,263,751,1213,955,755,884,1143,1232,2561,1318,1291,312,567,565,772,623,508,321,1715,479,760,727,1011,410,624,1211,580,1266,729,1116,2439,562,628,407,882,810,1220,896,680
ENSG00000022840,3364,5478,4611,3885,4632,2689,2174,5075,5471,4828,4059,6783,4924,8051,4516,5361,2447,4443,2579,3974,2922,3198,1661,6121,2773,3768,3496,5786,3130,4801,3100,3052,5118,4337,5071,8253,4337,3845,3769,4802,3342,5901,3544,3373
ENSG00000022976,223,256,100,157,428,136,137,161,429,181,113,144,156,120,292,148,143,167,58,114,48,135,111,142,106,94,238,144,139,97,284,115,514,209,92,159,169,313,178,114,265,210,114,172
ENSG00000023041,4321,3292,2306,2348,2431,3447,2017,3007,3732,2143,4391,2743,2872,2244,2694,2140,3433,2381,2315,1508,6451,2443,4050,2170,3229,1317,3915,2311,4178,1821,2111,1818,5368,2655,5196,2329,6825,3081,1789,1346,3272,2717,5179,1730
ENSG00000023171,102,123,190,52,214,35,174,116,156,95,40,107,60,24,133,92,82,83,95,41,74,41,16,40,85,19,38,105,214,35,2,54,111,75,118,115,99,49,64,147,292,101,27,56
ENSG00000023191,4239,4225,3585,3667,4474,4965,3227,3512,5324,4307,3621,4271,4058,4489,6259,3518,3284,4435,2388,2765,3416,2933,3023,3938,2882,3097,5474,3438,3293,3136,4997,3023,5236,4067,3172,6495,5269,3638,2823,5895,4600,4502,4846,2583
ENSG00000023228,6114,8471,5661,8389,6347,6424,4894,9635,6326,9369,7589,11148,8653,6336,6369,5892,5344,6686,6005,5325,8203,8311,2642,9747,7004,4417,8226,6756,5842,6023,5750,6050,10117,6685,6719,5730,6921,9159,4880,1843,6253,8754,7129,5381
ENSG00000023287,5473,3666,2376,2161,3986,2403,2200,3488,4199,2735,2712,4810,2590,3052,5791,4122,3059,2596,3576,2545,5054,2394,1068,2947,3046,1533,3989,3355,2481,2489,2904,1961,4794,3317,5261,3476,5016,2114,1722,1807,2482,3035,5393,2307
ENSG00000023318,6036,7856,4709,5395,6243,6247,3226,5495,5826,4210,4999,6926,7975,6997,8232,5786,3357,4311,4641,4126,5857,5587,3813,4914,3579,4214,7617,4972,5581,5966,5332,4187,5876,5215,7744,6716,6665,4782,3116,2842,5484,5574,5944,4226
ENSG00000023330,1631,4289,2756,4868,2478,2895,1882,5011,1671,3011,2790,5048,3464,6640,2722,3099,1510,2545,1742,2214,1212,2431,1372,7333,2598,3290,3187,3801,1641,5082,2354,2320,2793,2131,4005,4992,1489,3769,1244,1944,4028,4694,2815,2579
ENSG00000023445,2091,9533,2896,4821,2967,2519,4778,9446,1552,1916,4361,11637,7148,8001,1599,6267,1297,4427,3397,3449,1884,4140,1577,7113,2003,2271,5889,10234,3967,3541,1219,4885,1988,4389,2391,33501,3636,3664,613,4628,5866,10287,4078,3406
ENSG00000023516,5895,2170,3194,1828,4656,567,3258,2337,5778,2567,4857,2354,2116,1606,4176,2109,2698,2033,2617,1463,4117,1347,757,1892,3966,1189,4800,2052,5164,1481,3358,1924,6524,2946,6125,2200,3486,1676,2925,1175,2223,2242,5905,1450
ENSG00000023572,804,860,768,690,1003,600,739,640,1316,755,874,893,897,932,1055,745,697,859,843,584,1839,613,1195,710,1100,636,1218,782,955,705,779,675,1460,848,1357,987,1630,718,741,706,1031,839,1065,480
ENSG00000023608,310,126,106,97,223,123,195,116,227,153,160,140,182,50,184,42,245,152,133,125,286,61,162,90,188,83,296,115,186,88,221,72,360,211,316,131,351,117,110,294,183,90,142,56
ENSG00000023697,2295,3467,2636,2942,2105,7414,965,4603,3026,2867,1924,4314,2885,2535,2035,3588,1725,2433,1671,2604,3247,2639,3437,3809,2613,1969,5024,3303,2360,2262,1795,1929,3094,2966,1699,3188,3228,2859,1630,1142,2027,3706,2267,2298
ENSG00000023734,6605,3582,7196,3790,5726,3820,6029,3686,5863,3470,27159,4114,5159,4302,6093,2645,6964,3671,4322,1925,9342,2486,4159,3566,6193,3372,12168,2683,5687,3580,4256,3155,9947,3068,8680,4007,11239,3650,7493,3298,5327,3543,10845,1796
ENSG00000023839,134,21,299,24,150,11,14,12,1397,30,1781,29,13,5,40,19,900,18,395,12,401,17,65,17,531,9,45,32,407,16,39,28,323,37,1634,40,2825,42,1111,94,99,25,580,26
ENSG00000023892,1127,863,727,475,1233,509,910,388,1793,695,776,472,573,380,1013,358,749,684,555,506,597,530,486,415,905,339,627,802,805,306,1061,455,1225,684,783,650,1607,792,698,1120,1035,976,690,411
ENSG00000023902,542,785,629,481,945,419,790,436,1030,2604,610,936,1155,693,199,1097,229,2555,451,614,394,355,484,605,294,776,420,1526,392,308,70,915,505,2870,343,3428,887,601,273,2829,799,1450,421,251
ENSG00000023909,1368,544,829,888,1060,246,802,874,1481,719,1927,719,870,1210,1000,432,1014,442,1152,554,1251,448,789,1423,798,505,1191,605,895,813,784,364,1774,374,1954,1178,893,1169,787,1315,836,1003,1266,374
ENSG00000024048,3945,7229,2327,2953,3526,2046,2094,5060,3955,3568,2599,6181,3349,3123,4138,5998,1908,2831,3913,3254,2791,3398,783,4438,1647,1391,3281,4644,2459,3164,2951,2180,3408,3624,3295,6108,3285,3729,1908,1977,3406,4716,3299,3213
ENSG00000024422,1025,427,689,617,1210,103,332,226,1076,2309,1201,996,1480,730,442,1479,290,2445,126,563,88,275,78,647,59,649,259,899,530,528,103,779,929,1972,584,4262,423,510,285,5222,861,1701,530,317
ENSG00000024526,887,733,401,341,1154,188,788,344,681,279,1277,209,669,126,1399,136,1519,202,421,158,1937,666,690,248,738,65,1406,149,561,238,234,190,1235,120,1112,43,859,315,663,7,1530,189,1401,282
ENSG00000024862,1509,1287,836,750,968,2594,436,1567,1174,1444,635,1210,1042,799,856,818,820,887,696,998,1371,1010,1393,1308,709,537,1332,1218,745,539,1317,587,939,1338,1219,1562,2000,1173,437,790,847,1520,823,791
ENSG00000025039,233,207,155,272,213,271,182,180,182,340,136,176,279,288,71,148,141,225,107,244,200,124,285,408,65,137,175,284,79,163,35,177,229,323,1206,819,312,242,355,1031,172,458,73,89
ENSG00000025156,962,309,355,265,464,211,453,240,634,474,608,378,299,173,512,208,537,741,474,272,979,295,463,274,575,195,782,320,561,185,470,390,780,556,970,320,1239,362,564,233,420,318,868,163
ENSG00000025293,3927,1042,1950,948,2395,692,2312,936,3898,1388,3242,1133,1056,767,2450,730,1582,1363,2602,829,3677,857,1668,939,2076,815,2695,979,1944,665,2306,1093,2923,1530,6417,1433,4554,981,2539,1819,1860,1164,4925,603
ENSG00000025423,266,103,101,196,145,213,20,18,49,408,116,191,297,116,104,187,64,344,80,135,124,63,128,123,79,140,224,139,94,143,15,180,89,474,133,135,192,270,38,97,119,186,133,78
ENSG00000025434,732,1558,799,1057,785,1526,1132,1877,2779,1404,621,1245,837,1126,504,554,463,913,501,842,742,736,956,2076,767,334,639,1194,789,514,646,628,1817,1004,483,2528,754,1667,532,3496,919,2134,586,619
ENSG00000025708,675,2354,1723,1806,1971,268,3705,1080,1496,563,955,915,1809,1806,418,3567,240,747,670,542,554,262,395,1299,289,336,633,1519,706,188,329,508,870,538,694,5743,1294,2147,533,5792,2294,2624,1658,632
ENSG00000025770,1318,1094,918,747,1438,913,1153,802,1491,929,2013,954,844,776,1564,860,1304,1221,790,812,2255,829,1234,882,887,647,1119,891,1567,558,875,822,2190,1044,2177,1055,1126,955,930,1077,1044,1226,2860,562
ENSG00000025772,4923,900,2156,883,2047,938,2645,972,3350,708,2847,785,956,707,2912,517,2602,947,4198,597,8720,728,2522,510,2865,724,7475,639,1918,356,2391,877,3711,788,8998,580,6881,992,3195,699,1991,667,5558,364
ENSG00000025796,6532,3369,3580,3163,6550,1935,3002,2559,4803,3183,5652,3721,3874,3017,6467,2411,3221,3295,3624,2524,4273,2104,2305,2651,3511,2362,4957,2956,5603,3518,5188,2908,4997,3910,7352,3208,6367,2943,3937,2625,2232,3416,4747,1880
ENSG00000025800,1578,2201,1852,1697,3396,625,1835,1924,1820,2290,2877,2541,2797,2188,3385,1953,2138,2030,1146,1455,1846,1624,677,1865,1688,1496,2795,2031,1189,1820,3222,1787,2394,2053,3670,2130,1733,1627,1728,1498,2433,1787,3022,1340
ENSG00000026025,10806,5619,7401,5543,6771,5265,3692,3878,12163,10108,5159,5079,12756,9802,2348,5312,2022,10246,2071,6365,4047,3267,4244,7698,2285,6865,4355,6834,3759,2956,717,4671,5694,8205,5605,40858,8549,5739,1217,64665,6549,13737,2892,2739
ENSG00000026036,67,19,56,23,223,3,46,3,352,31,45,4,50,5,73,18,37,28,69,6,67,21,21,12,60,5,132,10,163,10,15,9,123,42,111,27,346,61,102,23,68,28,81,28
ENSG00000026103,474,3980,825,1719,744,2952,1210,2255,962,1885,1319,2413,1958,1334,622,2448,233,1470,634,2119,1402,2916,826,1345,428,936,1279,2265,831,1380,2052,1809,489,2492,365,1679,954,1414,418,1093,1365,1654,937,2303
ENSG00000026297,1441,1865,2421,2001,3270,2903,1790,1346,4223,1694,1606,1545,1747,1939,4723,1310,2351,2172,1782,1350,2317,1625,2595,1412,1693,1323,2513,1901,1740,989,1776,1573,4347,2224,2541,2975,3024,2025,4053,2996,1276,2351,2274,1264
ENSG00000026508,9876,3612,6581,2976,19751,2202,12259,2270,14479,3982,19530,3210,12199,4973,15492,2618,5510,4222,9758,2876,7947,2594,5965,2490,17627,3084,15030,3606,16277,1848,16687,3004,12370,3540,18962,7109,15960,3141,9684,12797,13591,4060,8908,1588
ENSG00000026559,1,115,73,162,6,29,30,255,2,73,1,145,50,56,16,396,15,203,3,101,5,104,7,176,10,10,7,323,23,18,0,53,26,330,99,179,14,91,252,154,20,144,6,74
ENSG00000026652,399,638,274,542,610,217,82,183,199,409,201,288,767,1063,562,269,94,445,45,168,73,239,160,186,121,101,334,204,806,455,76,126,116,513,88,585,299,222,271,1655,180,218,58,325
ENSG00000026751,225,2540,1401,2544,3672,1915,3390,1145,1518,1683,702,878,1088,1867,292,558,96,1013,1165,1550,542,1229,1106,2474,471,465,875,1488,446,1539,62,750,280,1257,89,873,736,1385,106,501,5009,3782,713,919
ENSG00000026950,1790,1936,988,852,3648,1113,1717,788,2368,1374,1149,1074,1244,578,1539,1177,939,896,1720,995,1612,1085,739,1053,498,233,1267,2312,775,414,1690,722,1382,1662,1998,1359,2291,1474,933,1459,2401,2185,1576,966
ENSG00000027001,2163,892,1572,1034,1170,868,1638,868,1552,956,2737,871,1069,715,1087,600,1516,783,4458,524,3164,817,812,784,2381,560,2772,566,1872,592,737,631,2001,643,2577,488,1965,1175,1446,199,1072,858,2807,413
ENSG00000027075,366,478,389,342,732,286,1157,352,609,544,798,448,479,408,537,415,271,515,433,390,394,376,170,330,180,288,623,698,456,225,657,479,636,546,458,694,1035,355,172,1208,739,426,399,230
ENSG00000027644,1,0,0,0,10,0,3,1,1,3,1,2,0,4,1,2,1,0,0,0,0,0,1,0,1,2,1,1,4,0,0,1,0,6,1,2,1,0,5,12,1,0,0,2
ENSG00000027697,5070,10072,4749,6703,4600,8674,3201,9517,4099,5253,5792,10341,11138,12895,17371,9318,2805,5430,5633,6260,6163,5496,3667,7470,5765,5509,6957,8184,7133,9084,3890,4978,6148,6498,3593,13268,7074,5201,2138,7408,9820,7402,7908,5864
ENSG00000027847,559,536,818,448,1228,538,710,349,1921,602,673,499,543,598,1146,329,682,587,723,400,882,385,1092,534,341,313,864,429,1007,382,1012,411,1013,595,988,601,851,671,528,554,692,815,1099,331
ENSG00000027869,370,118,208,85,268,79,909,60,308,74,239,80,126,133,115,137,200,93,186,83,155,66,242,139,170,73,177,146,177,28,82,96,776,115,224,207,280,112,371,301,340,126,467,22
ENSG00000028116,1167,586,337,603,974,510,874,693,595,567,854,632,788,574,1602,429,919,527,590,373,1326,526,770,489,1202,436,1375,457,748,432,1377,525,1137,608,1174,389,1466,652,699,271,1346,601,1224,319
ENSG00000028137,1766,2185,1465,1393,2550,591,3283,1887,2191,1211,2000,1446,4140,2554,1599,2033,645,1236,1302,1724,2182,1076,671,2254,1710,992,1934,2292,706,880,1268,926,1075,1828,2657,5080,1709,705,979,10502,1608,2114,2417,1200
ENSG00000028203,3336,3910,2710,2584,3367,3614,1770,2969,3265,2577,2665,3360,3810,4128,4335,2494,2555,3096,1918,2043,2968,2397,2070,2785,4538,1990,4025,2482,4302,2692,2598,2095,3323,2603,2744,4388,4188,2330,1965,1674,3058,2840,2513,1722
ENSG00000028277,159,635,133,179,569,19,224,141,353,269,162,178,214,112,83,122,24,331,139,203,32,267,68,194,52,136,256,349,87,56,10,214,201,331,87,325,222,156,92,559,652,247,107,108
ENSG00000028310,2728,1134,905,688,3003,711,983,627,2416,893,1517,822,852,838,1572,725,1007,1041,675,645,1567,673,530,711,893,753,1725,958,1650,595,1216,760,2795,1035,2446,1153,1978,950,1190,1122,1127,1025,1421,566
ENSG00000028528,3230,5357,3306,3707,4610,4453,2254,4506,3025,5090,3836,5482,4367,3835,3366,3795,2714,4762,1708,3309,2425,3497,2279,4176,2203,2647,3151,4514,3819,2768,4032,3397,4547,4872,4223,6211,3544,4652,2235,4697,3778,5397,3409,2850
ENSG00000028839,1437,639,529,422,916,1142,557,554,526,599,777,762,607,414,1927,397,598,546,503,515,1450,615,1626,451,746,279,1398,577,848,401,516,513,596,661,1048,506,1703,480,675,400,601,495,778,473
ENSG00000029153,862,295,441,140,2134,205,1031,93,588,208,1146,270,1181,351,1134,227,893,162,689,80,1570,143,460,88,1024,191,1199,197,679,405,1215,132,760,165,1148,198,1443,127,679,178,1265,181,1728,132
ENSG00000029363,10752,7966,5844,6383,7997,4085,5608,6622,10181,6756,8020,6887,7856,5371,17732,5623,6686,6117,5811,4260,11844,6026,3167,4992,7889,4747,11088,5204,10033,5403,5896,5503,10156,7134,10227,5051,12206,5772,6828,3392,6603,5865,9331,3911
ENSG00000029364,4300,4729,3387,3327,4293,3422,2628,4504,4465,3764,3172,4815,5246,3610,5811,3440,2468,3216,2745,3131,4634,3893,2379,3900,3443,2677,5394,3985,6077,4389,4975,3112,6247,3630,3107,4500,5135,3370,2338,1575,4943,4171,2979,2981
ENSG00000029534,13,21,26,20,66,7,544,14,18,21,51,4,15,5,24,8,18,12,11,6,14,14,8,10,13,25,7,11,14,7,7,11,8,36,10,38,36,13,20,109,53,19,79,2
ENSG00000029559,6,0,160,1,8,0,1,0,13,0,1,0,0,0,31,1,4,0,1,0,3,0,15,0,0,0,0,1,0,0,2,0,0,1,4,0,12,0,0,4,3,0,0,0
ENSG00000029639,756,349,483,350,488,516,384,369,781,452,798,465,589,349,919,240,656,433,397,263,1211,362,955,347,414,190,1106,232,844,273,638,311,984,322,896,266,1429,381,734,132,644,329,773,245
ENSG00000029725,1548,1904,1367,1569,1656,1108,947,1370,1409,1627,1436,1842,1676,1332,2141,1348,1776,1709,1340,1313,1364,1145,840,1483,1503,904,1728,1640,1830,1226,1960,1256,1463,1944,2113,2061,1713,1642,1192,1328,1478,1688,1188,1113
ENSG00000029993,4755,1499,2982,2258,2801,1157,2768,1773,4270,1652,3260,1235,1934,1014,4652,450,8672,1268,2047,502,5215,1107,3962,2434,3491,543,2357,812,3744,771,1630,991,4512,491,9555,828,7225,2936,4299,432,3188,2807,3574,578
ENSG00000030066,4042,2256,1679,1746,2296,1040,2658,2170,3805,1680,5273,1658,1963,1028,4618,1394,3037,1649,1954,1217,3648,1546,1164,1540,2512,823,3570,1345,3859,884,2450,1279,4143,1782,4648,1038,4323,1686,1859,891,3058,1512,4729,1084
ENSG00000030110,980,2219,1937,2452,950,1420,1600,2570,1161,1533,1855,2900,2977,4497,1013,1776,989,1744,1292,1106,1005,1364,1118,3072,969,1047,2000,2348,1119,1696,1176,1415,806,1024,1925,3177,1596,2975,1100,854,1628,3059,1836,1851
ENSG00000030304,1,215,13,111,73,94,8,125,1,149,12,83,86,59,12,24,6,184,16,185,1,77,10,188,10,93,74,110,36,126,2,122,11,115,1,75,48,129,3,17,25,161,2,73
ENSG00000030419,132,559,216,188,760,103,313,463,225,326,200,401,364,193,795,551,67,191,232,255,149,378,111,370,73,103,419,443,141,299,471,275,420,353,116,331,325,343,45,278,662,447,247,201
ENSG00000030582,14655,28137,13756,16436,11420,21768,8245,25454,11550,19406,8094,22989,13731,21767,23128,20096,7462,13454,11008,16807,5767,14682,8140,22284,6458,15051,13806,22831,5967,9392,13302,15669,18141,25514,10977,29690,9675,21362,6999,17389,18943,34997,8038,18643
ENSG00000031003,835,1509,809,1011,1162,622,495,1195,886,1581,901,1433,863,963,1253,1166,797,1652,560,866,1277,872,536,1115,491,697,810,1240,1135,707,747,993,918,1817,1244,1252,1087,879,472,853,758,1282,828,537
ENSG00000031081,695,995,401,779,1463,261,711,651,724,934,619,697,998,639,2078,561,249,736,171,405,143,513,169,643,158,508,592,775,316,507,1192,678,500,859,270,1023,368,496,127,1200,610,570,701,490
ENSG00000031691,737,236,207,142,315,255,236,189,454,252,358,118,240,130,648,199,256,185,448,125,943,185,649,218,400,81,544,217,408,150,136,106,423,196,454,159,495,104,277,111,262,136,500,164
ENSG00000031698,4330,5991,5256,5607,4932,8631,5144,5610,6057,5815,9648,6456,6573,5279,6897,3457,6138,5692,4023,4223,8732,5002,6644,4743,7234,3534,11698,4395,5748,9788,5897,4276,6476,5462,12570,5874,5345,5711,4886,3903,4782,5549,8688,3560
ENSG00000031823,2466,1798,2047,1440,2364,1388,1564,1357,3096,2050,2518,1922,1288,1339,2581,1601,1690,2187,1241,1146,2292,976,1501,1540,1557,1024,2283,1550,1774,837,1999,1322,2526,1852,3482,2058,3263,1639,1714,1459,1774,1943,2349,969
ENSG00000032219,1288,2101,950,1387,1929,730,883,1546,1850,1510,981,2132,1293,976,1924,1496,1140,1314,740,1227,859,1195,331,1206,1169,705,1803,1675,1309,1115,1838,1133,2466,2028,1351,1287,1237,1470,818,725,1356,1547,965,1218
ENSG00000032389,1729,1352,1073,795,1073,1729,942,872,1322,1025,1533,1032,1201,959,2064,688,1260,936,1029,629,3343,1020,1695,811,1998,566,2784,931,1736,980,682,601,2374,719,1622,826,3237,857,1207,369,1255,1173,829,586
ENSG00000032444,2159,2101,2023,2088,1753,867,1430,2527,2459,2232,1928,2428,1537,3505,1885,2273,806,1565,1227,1303,1456,1130,844,2508,1332,1430,1695,2286,1117,1193,1643,1405,2649,1647,3241,3264,2067,1851,1471,2387,1627,2810,2313,1053
ENSG00000032742,868,1121,941,817,857,868,878,821,1728,775,1340,949,830,832,1002,803,488,801,2603,586,1960,767,566,734,1702,498,2871,811,1805,1322,717,569,1677,975,1501,914,1673,914,787,353,925,806,1292,457
ENSG00000033011,1218,997,937,819,1326,1249,843,623,1798,960,1430,825,1290,698,2241,484,963,816,1068,488,2520,853,1226,538,941,499,2127,468,1655,757,1233,644,1319,648,1311,338,1811,671,826,237,1455,651,1969,536
ENSG00000033030,1102,1150,969,923,1463,896,685,844,1880,954,1075,1144,890,699,1557,871,847,956,635,714,1074,824,494,830,1212,561,1205,882,917,890,1130,709,1578,1044,1079,921,1388,971,971,762,1016,920,1087,627
ENSG00000033050,618,487,523,437,577,400,609,758,955,529,654,655,526,607,620,521,513,578,601,342,696,372,349,502,625,401,930,662,424,249,457,412,1001,413,1134,681,767,479,726,648,625,434,1097,431
ENSG00000033100,2099,2383,1445,1494,2406,711,1307,1985,2099,1659,1727,2542,1891,2515,2132,1912,1229,1179,2067,1555,991,1279,358,1756,827,1446,2412,1914,1598,1332,2058,1357,2203,1590,2992,2679,1054,1054,1801,1277,1761,1985,2903,1373
